id,product_name,description,rare,price
1,"Lechwe, kafue flats",Proin at turpis a pede posuere nonummy. Integer non velit.,true,$16.66
2,"Teal, hottentot","Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",false,$12.60
3,"Dik, kirk's dik",Mauris ullamcorper purus sit amet nulla.,true,$18.84
4,Blue-faced booby,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",true,$11.62
5,"Whale, long-finned pilot",Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,false,$14.08
6,"Bulbul, black-fronted",Fusce consequat.,false,$19.13
7,Numbat,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",false,$16.34
8,"Lion, galapagos sea",In eleifend quam a odio.,false,$12.86
9,"Vulture, black",Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,false,$17.10
10,Black-collared barbet,Aenean lectus.,false,$13.02
11,"Elk, Wapiti",Maecenas pulvinar lobortis est.,false,$16.62
12,Hawk-headed parrot,Pellentesque ultrices mattis odio. Donec vitae nisi.,true,$15.84
13,Black-crowned night heron,Integer a nibh.,false,$17.26
14,"Elk, Wapiti",Quisque ut erat. Curabitur gravida nisi at nibh.,false,$14.38
15,Carpet snake,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",false,$10.97
16,"Duck, mountain",Morbi non lectus.,false,$14.17
17,"Eagle, bateleur","Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",true,$12.78
18,"Lourie, grey","Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",false,$10.16
19,"Boa, malagasy ground",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,true,$11.86
20,Seven-banded armadillo,Pellentesque viverra pede ac diam.,false,$13.45
21,Black-tailed prairie dog,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",false,$12.21
22,"Dragon, netted rock",Pellentesque at nulla.,false,$14.86
23,"Jackal, silver-backed","Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",true,$12.45
24,Crowned hawk-eagle,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,true,$11.86
25,"Buffalo, wild water",Nulla nisl.,false,$16.73
26,"Dragon, netted rock","Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",true,$10.18
27,Indian tree pie,In hac habitasse platea dictumst.,true,$18.24
28,Meerkat,In quis justo.,true,$12.74
29,Snake (unidentified),Ut tellus.,true,$11.31
30,Numbat,Pellentesque ultrices mattis odio. Donec vitae nisi.,true,$18.90
31,Madagascar hawk owl,Ut tellus.,true,$18.23
32,"Nighthawk, common","Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",false,$16.55
33,Brown and yellow marshbird,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",false,$14.75
34,"Heron, striated","Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",true,$14.52
35,"Heron, green-backed",Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,true,$11.42
36,"Buffalo, wild water","Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",false,$11.41
37,Radiated tortoise,Donec dapibus.,false,$18.52
38,"Owl, burrowing",Donec posuere metus vitae ipsum. Aliquam non mauris.,false,$14.55
39,Black-crowned night heron,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,true,$11.30
40,African darter,Quisque ut erat.,false,$12.41
41,"Caracara, yellow-headed",Morbi non lectus.,true,$17.39
42,Red-tailed phascogale,Aenean sit amet justo. Morbi ut odio.,false,$17.26
43,Arctic lemming,Donec posuere metus vitae ipsum. Aliquam non mauris.,false,$18.54
44,"Capuchin, black-capped","Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",false,$14.31
45,"Lemming, collared","Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",true,$16.61
46,"Rhea, gray",Etiam vel augue.,false,$11.19
47,Kaffir cat,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",false,$13.01
48,"Lemur, grey mouse",In congue. Etiam justo.,false,$12.39
49,Swallow-tail gull,Suspendisse potenti.,false,$12.43
50,Black-throated cardinal,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",false,$11.35
51,Nubian bee-eater,Cras non velit nec nisi vulputate nonummy.,true,$17.41
52,Western pygmy possum,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,false,$15.90
53,"Bird, magnificent frigate",Nulla tempus.,true,$18.77
54,Pallas's fish eagle,Maecenas tincidunt lacus at velit.,true,$17.78
55,Blue waxbill,Morbi porttitor lorem id ligula.,true,$12.63
56,Southern black-backed gull,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,false,$17.93
57,"Kangaroo, eastern grey",Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,false,$12.04
58,"Eland, common",Curabitur convallis.,true,$12.67
59,Wattled crane,Donec semper sapien a libero. Nam dui.,false,$11.88
60,Eastern fox squirrel,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",true,$14.13
61,"Lizard, goanna",Phasellus in felis.,false,$14.19
62,"Iguana, common green","Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",true,$18.75
