id,purchase_date,customer_id,items,amount
1,3/7/2024,566,"[{},{}]",$47.90
2,12/14/2024,346,[{}],$44.22
3,12/17/2024,221,"[{},{},{}]",$56.00
4,1/17/2024,424,"[{},{},{},{},{}]",$21.49
5,12/9/2024,806,"[{},{},{},{},{}]",$65.77
6,7/16/2024,526,"[{},{},{}]",$26.65
7,6/3/2024,158,"[{},{}]",$66.44
8,12/16/2024,592,"[{},{},{},{},{}]",$34.07
9,2/27/2024,142,"[{},{},{}]",$28.10
10,7/6/2024,263,"[{},{}]",$20.88
11,2/16/2024,216,"[{},{}]",$22.39
12,9/12/2024,490,"[{},{},{},{}]",$25.11
13,7/2/2024,84,[{}],$16.25
14,1/21/2024,704,[{}],$74.22
15,12/21/2024,803,"[{},{}]",$36.78
16,1/31/2024,253,"[{},{}]",$24.29
17,3/4/2024,529,"[{},{},{},{}]",$32.01
18,12/24/2024,579,"[{},{},{},{}]",$44.86
19,9/12/2024,659,"[{},{}]",$78.84
20,11/29/2024,191,"[{},{},{}]",$76.46
21,2/14/2024,896,"[{},{},{},{}]",$32.50
22,1/8/2025,956,"[{},{}]",$72.26
23,1/23/2024,454,"[{},{},{}]",$68.28
24,2/17/2024,636,"[{},{},{},{}]",$14.34
25,5/12/2024,284,"[{},{}]",$19.06
26,5/31/2024,726,"[{},{},{},{},{}]",$62.81
27,3/1/2024,200,"[{},{}]",$36.51
28,7/13/2024,662,"[{},{},{},{}]",$31.25
29,4/12/2024,115,"[{},{}]",$32.04
30,5/19/2024,95,"[{},{},{},{}]",$50.33
31,7/10/2024,948,[{}],$15.44
32,12/1/2024,744,[{}],$38.22
33,10/25/2024,427,"[{},{}]",$24.61
34,10/23/2024,143,[{}],$59.08
35,5/7/2024,875,"[{},{}]",$28.30
36,7/31/2024,171,"[{},{},{}]",$70.34
37,7/31/2024,360,"[{},{}]",$68.84
38,11/7/2024,410,"[{},{}]",$54.88
39,12/7/2024,470,"[{},{},{},{}]",$24.38
40,7/3/2024,764,"[{},{},{},{},{}]",$54.69
41,6/17/2024,910,"[{},{},{},{}]",$78.35
42,4/6/2024,670,[{}],$71.72
43,8/5/2024,666,"[{},{},{},{}]",$74.68
44,8/19/2024,668,[{}],$29.67
45,3/19/2024,97,"[{},{},{}]",$52.14
46,7/17/2024,923,[{}],$77.86
47,4/28/2024,336,"[{},{}]",$35.00
48,8/9/2024,386,"[{},{}]",$41.97
49,5/5/2024,443,"[{},{}]",$25.54
50,3/13/2024,84,[{}],$65.93
51,5/19/2024,598,"[{},{},{}]",$62.61
52,1/19/2024,505,[{}],$54.38
53,5/28/2024,149,[{}],$37.10
54,3/17/2024,692,"[{},{}]",$13.15
55,2/1/2024,17,"[{},{},{},{},{}]",$64.64
56,9/8/2024,978,"[{},{},{}]",$18.66
57,3/30/2024,471,"[{},{}]",$41.12
58,9/8/2024,414,"[{},{},{},{},{}]",$29.64
59,8/21/2024,637,[{}],$19.40
60,6/16/2024,701,"[{},{},{},{}]",$50.77
61,11/19/2024,902,"[{},{},{}]",$16.00
62,2/6/2024,846,"[{},{},{}]",$25.47
63,3/24/2024,689,"[{},{},{}]",$69.32
64,9/15/2024,234,"[{},{},{},{}]",$31.14
65,12/19/2024,539,"[{},{},{},{},{}]",$73.07
66,11/17/2024,956,"[{},{},{},{},{}]",$30.90
67,1/10/2024,295,"[{},{},{}]",$52.28
68,8/19/2024,97,"[{},{},{},{}]",$46.82
69,6/11/2024,49,[{}],$10.40
70,11/7/2024,959,"[{},{},{}]",$51.25
71,7/12/2024,166,"[{},{},{},{},{}]",$66.95
72,1/13/2024,85,[{}],$67.59
73,1/10/2024,830,"[{},{}]",$16.64
74,7/28/2024,130,"[{},{}]",$18.19
75,5/9/2024,946,"[{},{},{},{},{}]",$69.30
76,11/29/2024,666,"[{},{}]",$43.09
77,3/30/2024,813,"[{},{},{},{},{}]",$34.83
78,1/19/2024,688,"[{},{}]",$63.25
79,8/4/2024,509,[{}],$72.31
80,5/10/2024,664,"[{},{},{}]",$11.20
81,12/28/2024,195,[{}],$27.42
82,6/14/2024,453,"[{},{},{},{}]",$36.80
83,8/18/2024,622,"[{},{},{}]",$76.06
84,1/6/2025,800,"[{},{},{},{}]",$26.56
85,1/24/2024,760,[{}],$48.98
86,7/13/2024,158,"[{},{},{},{},{}]",$31.89
87,11/15/2024,248,"[{},{}]",$42.38
88,5/21/2024,518,"[{},{}]",$29.88
89,3/6/2024,251,[{}],$44.58
90,10/28/2024,641,"[{},{},{}]",$71.23
91,12/28/2024,950,"[{},{},{},{},{}]",$30.42
92,7/10/2024,165,[{}],$52.26
93,7/25/2024,301,"[{},{},{}]",$30.97
94,6/13/2024,141,"[{},{},{},{},{}]",$63.55
95,6/23/2024,824,"[{},{},{},{}]",$77.43
96,6/19/2024,667,"[{},{},{},{},{}]",$69.36
97,4/19/2024,236,"[{},{},{}]",$70.01
98,7/29/2024,965,"[{},{},{},{}]",$25.18
99,1/7/2025,687,[{}],$53.13
100,12/21/2024,578,"[{},{},{}]",$49.12
